Começo;# Respostas Corretas;Percentil;Resposta Esperada;Resposta Dada;Tempo;Validez
08/11/2016 14:18:05;15;5;4;4;3162;VÁLIDO
08/11/2016 14:18:05;15;5;5;5;1469;VÁLIDO
08/11/2016 14:18:05;15;5;1;1;1249;VÁLIDO
08/11/2016 14:18:05;15;5;2;2;2399;VÁLIDO
08/11/2016 14:18:05;15;5;6;6;5470;VÁLIDO
08/11/2016 14:18:05;15;5;3;3;27234;VÁLIDO
08/11/2016 14:18:05;15;5;6;4;2210;VÁLIDO
08/11/2016 14:18:05;15;5;2;2;1794;VÁLIDO
08/11/2016 14:18:05;15;5;1;1;2760;VÁLIDO
08/11/2016 14:18:05;15;5;3;3;2040;VÁLIDO
08/11/2016 14:18:05;15;5;4;1;1830;VÁLIDO
08/11/2016 14:18:05;15;5;4;3;1686;VÁLIDO
08/11/2016 14:18:05;15;5;4;4;2550;VÁLIDO
08/11/2016 14:18:05;15;5;5;5;2520;VÁLIDO
08/11/2016 14:18:05;15;5;1;1;1626;VÁLIDO
08/11/2016 14:18:05;15;5;6;6;2280;VÁLIDO
08/11/2016 14:18:05;15;5;2;2;1930;VÁLIDO
08/11/2016 14:18:05;15;5;1;1;2209;VÁLIDO
