Idade;Começo;# Respostas Corretas;Percentil;Resposta Esperada;Resposta Dada;Tempo;Validez
9;23/11/2016 10:57:01;13;1;4;4;1739;VÁLIDO;
9;23/11/2016 10:57:01;13;1;5;5;1081;VÁLIDO;
9;23/11/2016 10:57:01;13;1;1;1;1018;VÁLIDO;
9;23/11/2016 10:57:01;13;1;2;2;2222;VÁLIDO;
9;23/11/2016 10:57:01;13;1;6;6;1941;VÁLIDO;
9;23/11/2016 10:57:01;13;1;3;3;2193;VÁLIDO;
9;23/11/2016 10:57:01;13;1;6;6;5200;VÁLIDO;
9;23/11/2016 10:57:01;13;1;2;1;1541;VÁLIDO;
9;23/11/2016 10:57:01;13;1;1;1;3821;VÁLIDO;
9;23/11/2016 10:57:01;13;1;3;3;2146;VÁLIDO;
9;23/11/2016 10:57:01;13;1;4;1;2071;VÁLIDO;
9;23/11/2016 10:57:01;13;1;4;5;1647;VÁLIDO;
9;23/11/2016 10:57:01;13;1;4;4;1649;VÁLIDO;
9;23/11/2016 10:57:01;13;1;5;5;1592;VÁLIDO;
9;23/11/2016 10:57:01;13;1;1;5;2357;VÁLIDO;
9;23/11/2016 10:57:01;13;1;6;6;2116;VÁLIDO;
9;23/11/2016 10:57:01;13;1;2;3;2226;VÁLIDO;
9;23/11/2016 10:57:01;13;1;1;1;1705;VÁLIDO;
