Começo;# Respostas Corretas;Percentil;Resposta Dada;Tempo
17/08/2016 15:31;7;1;4;5071
17/08/2016 15:31;7;1;5;961
17/08/2016 15:31;7;1;6;432
17/08/2016 15:31;7;1;3;414
17/08/2016 15:31;7;1;4;351
17/08/2016 15:31;7;1;1;556
17/08/2016 15:31;7;1;1;463
17/08/2016 15:31;7;1;1;401
17/08/2016 15:31;7;1;1;354
17/08/2016 15:31;7;1;1;147
17/08/2016 15:31;7;1;1;2367
17/08/2016 15:31;7;1;1;2069
17/08/2016 15:31;7;1;1;602
17/08/2016 15:31;7;1;1;396
17/08/2016 15:31;7;1;1;524
17/08/2016 15:31;7;1;1;572
17/08/2016 15:31;7;1;1;617
17/08/2016 15:31;7;1;1;416
17/08/2016 15:31;7;1;1;353
17/08/2016 15:31;7;1;1;349
17/08/2016 15:31;7;1;1;354
17/08/2016 15:31;7;1;1;366
17/08/2016 15:31;7;1;1;430
17/08/2016 15:31;7;1;1;463
17/08/2016 15:31;7;1;1;369
17/08/2016 15:31;7;1;1;668
17/08/2016 15:31;7;1;1;493
17/08/2016 15:31;7;1;1;666
17/08/2016 15:31;7;1;1;697
17/08/2016 15:31;7;1;1;510
17/08/2016 15:31;7;1;1;760
17/08/2016 15:31;7;1;1;885
17/08/2016 15:31;7;1;1;522
17/08/2016 15:31;7;1;1;478
17/08/2016 15:31;7;1;1;3605
17/08/2016 15:31;7;1;1;589
