Começo	# Respostas Corretas	Percentil	Resposta Dada	Tempo
31/08/2016 16:42:04	8	1	4	1183
31/08/2016 16:42:04	8	1	5	979
31/08/2016 16:42:04	8	1	1	925
31/08/2016 16:42:04	8	1	3	717
31/08/2016 16:42:04	8	1	3	570
31/08/2016 16:42:04	8	1	3	312
31/08/2016 16:42:04	8	1	3	345
31/08/2016 16:42:04	8	1	3	348
31/08/2016 16:42:04	8	1	3	354
31/08/2016 16:42:04	8	1	3	398
31/08/2016 16:42:04	8	1	3	381
31/08/2016 16:42:04	8	1	3	354
31/08/2016 16:42:04	8	1	3	365
31/08/2016 16:42:04	8	1	3	389
31/08/2016 16:42:04	8	1	3	357
31/08/2016 16:42:04	8	1	3	399
31/08/2016 16:42:04	8	1	3	364
31/08/2016 16:42:04	8	1	3	410
31/08/2016 16:42:04	8	1	3	445
31/08/2016 16:42:04	8	1	3	391
31/08/2016 16:42:04	8	1	3	410
31/08/2016 16:42:04	8	1	3	423
31/08/2016 16:42:04	8	1	3	542
31/08/2016 16:42:04	8	1	3	431
31/08/2016 16:42:04	8	1	3	472
31/08/2016 16:42:04	8	1	3	454
31/08/2016 16:42:04	8	1	3	430
31/08/2016 16:42:04	8	1	3	401
31/08/2016 16:42:04	8	1	3	418
31/08/2016 16:42:04	8	1	3	464
31/08/2016 16:42:04	8	1	3	795
31/08/2016 16:42:04	8	1	3	456
31/08/2016 16:42:04	8	1	3	601
31/08/2016 16:42:04	8	1	3	766
31/08/2016 16:42:04	8	1	3	486
31/08/2016 16:42:04	8	1	3	614
